"Name","Year","Life.Expectancy.at.Birth..Both.Sexes","Life.Expectancy.at.Birth..Males","Life.Expectancy.at.Birth..Females","Under.Age.5.Mortality..Both.Sexes","Under.Age.5.Mortality..Males","Under.Age.5.Mortality..Females","Subregion","Region"
"Romania",2004,72,68.5,75.7,19.9,22.2,17.5,"Eastern Europe","Europe"
"Russia",2004,66.5,60.4,73,14,15.9,12,"Eastern Europe","Europe"
"Rwanda",2004,55.9,54.3,57.7,120.9,128,113.6,"Eastern Africa","Africa"
"Saint Barthelemy",2004,77.5,74.4,80.8,10.8,12.2,9.4,"Caribbean","Americas"
"Saint Helena, Ascension, and Tristan da Cunha",2004,77.4,74.5,80.5,32.6,38.4,26.5,"Western Africa","Africa"
"Saint Kitts and Nevis",2004,72.3,69.6,75.2,22.6,22.5,22.8,"Caribbean","Americas"
"Saint Lucia",2004,74.3,72.1,76.7,19.3,16.2,22.6,"Caribbean","Americas"
"Saint Martin",2004,77.5,74.4,80.8,10.8,12.2,9.4,"Caribbean","Americas"
"Saint Pierre and Miquelon",2004,79.8,77.9,81.8,11.1,13.2,8.8,"Northern America","Americas"
"Saint Vincent and the Grenadines",2004,71.8,70.2,73.5,28.3,30.1,26.5,"Caribbean","Americas"
"Samoa",2004,70.4,67.7,73.3,36.2,42.3,29.7,"Polynesia","Oceania"
"San Marino",2004,83.5,80.9,85.9,7.6,8.9,6.3,"Southern Europe","Europe"
"Sao Tome and Principe",2004,60.5,59.5,61.5,99.5,101,98,"Middle Africa","Africa"
"Saudi Arabia",2004,72.8,71.6,74.2,22,23.4,20.6,"Western Asia","Asia"
"Senegal",2004,60.3,58.8,62,98.8,104.5,92.8,"Western Africa","Africa"
"Serbia",2004,72.7,69.9,75.6,9.4,10.8,7.9,"Southern Europe","Europe"
"Seychelles",2004,70.2,65.3,75.2,25.3,31.2,19.3,"Eastern Africa","Africa"
"Sierra Leone",2004,45.6,44.5,46.8,208.1,216.6,199.3,"Western Africa","Africa"
"Singapore",2004,81.1,78.8,83.6,2.2,2.4,1.9,"South-Eastern Asia","Asia"
"Sint Maarten",2004,74.2,72.1,76.5,14.3,15.1,13.4,"Caribbean","Americas"
"Slovakia",2004,74.1,70.3,78.2,8.6,9.7,7.4,"Eastern Europe","Europe"
"Slovenia",2004,77.3,73.7,80.9,4.7,4.9,4.5,"Southern Europe","Europe"
"Solomon Islands",2004,72.4,69.9,75,38,43.6,32.2,"Melanesia","Oceania"
"Somalia",2004,48,46.3,49.8,197.8,209,186.2,"Eastern Africa","Africa"
"South Africa",2004,59,58.4,59.7,75.3,79.4,71.2,"Southern Africa","Africa"
"South Sudan",2004,NA,NA,NA,NA,NA,NA,"Northern Africa","Africa"
"Spain",2004,80.1,76.9,83.5,4.9,5.4,4.4,"Southern Europe","Europe"
"Sri Lanka",2004,66.8,63.5,70.3,33.1,36.1,30,"South-Central Asia","Asia"
"Sudan",2004,NA,NA,NA,NA,NA,NA,"Northern Africa","Africa"
"Suriname",2004,68.8,66.7,71.1,49.4,56.7,41.7,"South America","Americas"
"Sweden",2004,80.4,78.3,82.7,3.6,3.8,3.5,"Northern Europe","Europe"
"Switzerland",2004,81,78.5,83.7,5.2,5.9,4.5,"Western Europe","Europe"
"Syria",2004,73.5,72,75,19.6,21.5,17.6,"Western Asia","Asia"
"Taiwan",2004,77.6,74.7,80.8,6.9,7.4,6.5,"Eastern Asia","Asia"
"Tajikistan",2004,64.4,62.5,66.4,66.8,73.3,59.8,"South-Central Asia","Asia"
"Tanzania",2004,56.5,55.6,57.4,98.6,103.1,93.8,"Eastern Africa","Africa"
"Thailand",2004,72.5,69.3,75.8,18.5,20.4,16.5,"South-Eastern Asia","Asia"
"Timor-Leste",2004,62.3,60.9,63.8,80.5,84.9,75.9,"South-Eastern Asia","Asia"
"Togo",2004,62.2,60.1,64.3,106.8,114.5,98.8,"Western Africa","Africa"
"Tonga",2004,74.2,72.9,75.4,20,20.6,19.4,"Polynesia","Oceania"
"Trinidad and Tobago",2004,71.4,69.9,72.9,28.2,30.7,25.6,"Caribbean","Americas"
"Tunisia",2004,73.3,72,74.8,24.4,26.4,22.3,"Northern Africa","Africa"
"Turkey",2004,71.3,69.4,73.4,35.2,35.5,34.9,"Western Asia","Asia"
"Turkmenistan",2004,66.2,63.3,69.2,71.1,82.2,59.3,"South-Central Asia","Asia"
"Turks and Caicos Islands",2004,80.9,77.7,84.3,13.8,17.7,9.6,"Caribbean","Americas"
"Tuvalu",2004,62.3,60.3,64.4,72.9,70.6,75.3,"Polynesia","Oceania"
"Uganda",2004,53.8,52.8,54.9,115.1,124.1,105.9,"Eastern Africa","Africa"
"Ukraine",2004,68.2,62.9,73.8,12.8,15.4,10.1,"Eastern Europe","Europe"
"United Arab Emirates",2004,76.6,75.3,78,9.9,10.9,8.8,"Western Asia","Asia"
"United Kingdom",2004,78.8,76.6,81,6.1,6.6,5.6,"Northern Europe","Europe"
"United States",2004,NA,NA,NA,NA,NA,NA,"Northern America","Americas"
"Uruguay",2004,74.6,71.5,77.9,16.3,17.8,14.8,"South America","Americas"
"Uzbekistan",2004,71.9,69.3,74.6,31.1,35.1,26.9,"South-Central Asia","Asia"
"Vanuatu",2004,69.1,67.7,70.6,33.1,34.8,31.3,"Melanesia","Oceania"
"Venezuela",2004,73,70.1,76.1,22.4,24.4,20.4,"South America","Americas"
"Vietnam",2004,72.3,69.7,75,29.6,29.6,29.7,"South-Eastern Asia","Asia"
"Virgin Islands, British",2004,77.3,75.7,79,20.2,24.3,15.8,"Caribbean","Americas"
"Virgin Islands, U.S.",2004,77.8,74.7,81,10.4,11.7,9,"Caribbean","Americas"
"Wallis and Futuna",2004,76.7,72.7,81,5.9,6.6,5.3,"Polynesia","Oceania"
"West Bank",2004,72.8,71,74.7,25.3,28.3,22.1,"Western Asia","Asia"
"Yemen",2004,61.1,59.3,63.1,93.1,98.8,87.2,"Western Asia","Asia"
"Zambia",2004,50.1,48.8,51.4,118.2,125.5,110.7,"Eastern Africa","Africa"
"Zimbabwe",2004,46.5,45.7,47.2,93.8,100.1,87.3,"Eastern Africa","Africa"
"Afghanistan",2024,54.4,52.8,56.1,148.5,156.2,140.4,"South-Central Asia","Asia"
"Albania",2024,79.9,77.3,82.8,12,13,11,"Southern Europe","Europe"
"Algeria",2024,77.9,77.2,78.7,21.7,22.7,20.5,"Northern Africa","Africa"
"American Samoa",2024,75.8,73.4,78.5,12.2,14.2,10.1,"Polynesia","Oceania"
"Andorra",2024,83.8,81.6,86.2,4,4.1,3.9,"Southern Europe","Europe"
"Angola",2024,62.9,60.8,65.1,84.2,90.3,78,"Middle Africa","Africa"
"Anguilla",2024,82.6,80,85.3,4.3,5.7,2.9,"Caribbean","Americas"
"Antigua and Barbuda",2024,78.3,76.1,80.5,16.4,19.7,13,"Caribbean","Americas"
"Argentina",2024,78.8,75.8,82,10.5,11.7,9.3,"South America","Americas"
"Armenia",2024,76.7,73.4,80.1,13.2,14.6,11.6,"Western Asia","Asia"
"Aruba",2024,78.5,75.4,81.6,13.3,18.2,8.3,"Caribbean","Americas"
"Australia",2024,83.5,81.3,85.7,3.5,3.8,3.2,"Australia/New Zealand","Oceania"
"Austria",2024,82.7,80.1,85.4,3.8,4.2,3.2,"Western Europe","Europe"
"Azerbaijan",2024,75.9,73.5,78.6,12.3,14.1,10.2,"Western Asia","Asia"
"Bahamas, The",2024,76.7,75.1,78.4,10.9,12.1,9.6,"Caribbean","Americas"
"Bahrain",2024,80.4,78.1,82.7,11.5,13.4,9.6,"Western Asia","Asia"
"Bangladesh",2024,75.2,73.1,77.5,35.5,38.1,32.7,"South-Central Asia","Asia"
"Barbados",2024,79,76.3,81.8,11.6,13.3,9.9,"Caribbean","Americas"
"Belarus",2024,74.7,69.8,80,3.3,3.9,2.6,"Eastern Europe","Europe"
"Belgium",2024,82.3,79.7,85,3.8,4.4,3.2,"Western Europe","Europe"
"Belize",2024,74.3,72.6,76.1,13.1,14.3,11.7,"Central America","Americas"
"Benin",2024,63,61.1,65,79.4,84.8,73.8,"Western Africa","Africa"
"Bermuda",2024,82.5,79.4,85.7,2.8,3.2,2.5,"Northern America","Americas"
"Bhutan",2024,73.7,72.5,75,31,31.4,30.6,"South-Central Asia","Asia"
"Bolivia",2024,72.5,71,74,27.7,30,25.3,"South America","Americas"
"Bosnia and Herzegovina",2024,78.5,75.5,81.6,5.7,5.9,5.4,"Southern Europe","Europe"
"Botswana",2024,66.4,64.4,68.6,30.2,33,27.3,"Southern Africa","Africa"
"Brazil",2024,76.3,72.6,80.1,16.3,18.6,13.8,"South America","Americas"
"Brunei",2024,78.9,76.5,81.3,11.5,14,8.8,"South-Eastern Asia","Asia"
"Bulgaria",2024,76.1,72.9,79.4,9,10.2,7.7,"Eastern Europe","Europe"
"Burkina Faso",2024,64.2,62.3,66.1,76.5,81.2,71.6,"Western Africa","Africa"
"Burma",2024,70.3,68.5,72.1,39.9,43.3,36.4,"South-Eastern Asia","Asia"
"Burundi",2024,68.1,66,70.3,50.4,55.7,45,"Eastern Africa","Africa"
"Cabo Verde",2024,74.3,72,76.7,27.4,31.8,22.8,"Western Africa","Africa"
"Cambodia",2024,71.4,69.6,73.3,37.2,41.5,32.8,"South-Eastern Asia","Asia"
"Cameroon",2024,64.2,62.3,66.1,68.5,74,62.9,"Middle Africa","Africa"
"Canada",2024,84.2,81.9,86.6,4.9,5.3,4.5,"Northern America","Americas"
"Cayman Islands",2024,82.5,79.8,85.2,8.5,10.2,6.7,"Caribbean","Americas"
"Central African Republic",2024,56.4,55.1,57.7,120.6,124.9,116.1,"Middle Africa","Africa"
"Chad",2024,60,58.1,62,102.5,108.7,96,"Middle Africa","Africa"
"Chile",2024,80.3,77.3,83.3,7.3,8,6.6,"South America","Americas"
"China",2024,78.7,76,81.7,7.3,7.8,6.7,"Eastern Asia","Asia"
"Colombia",2024,74.9,71.3,78.7,13.8,15.4,12.1,"South America","Americas"
"Comoros",2024,67.8,65.5,70.2,75.4,87.7,62.7,"Eastern Africa","Africa"
"Congo (Brazzaville)",2024,72.9,71.5,74.3,43.1,46.2,39.9,"Middle Africa","Africa"
"Congo (Kinshasa)",2024,62.6,60.7,64.6,76.2,82.5,69.7,"Middle Africa","Africa"
"Cook Islands",2024,77.6,74.8,80.6,18.2,22.8,13.4,"Polynesia","Oceania"
"Costa Rica",2024,80.3,77.7,82.9,7.5,8.1,7,"Central America","Americas"
"Croatia",2024,77.7,74.6,81,10.1,9.8,10.5,"Southern Europe","Europe"
"Cuba",2024,80.1,77.8,82.6,5,5.7,4.3,"Caribbean","Americas"
"Curaçao",2024,79.9,77.6,82.3,8.5,9.2,7.6,NA,NA
"Cyprus",2024,80.2,77.4,83.1,9.2,11,7.3,"Western Asia","Asia"
"Czechia",2024,78.6,75.6,81.8,3.2,3.3,3,"Eastern Europe","Europe"
"Côte d'Ivoire",2024,63.2,60.9,65.4,71.4,79.7,62.8,NA,NA
"Denmark",2024,82.1,80.2,84.1,3.5,4,2.9,"Northern Europe","Europe"
"Djibouti",2024,65.9,63.4,68.5,60.7,69,52.1,"Eastern Africa","Africa"
"Dominica",2024,78.7,75.8,81.8,12.4,16.8,7.7,"Caribbean","Americas"
"Dominican Republic",2024,72.6,71,74.3,25.9,28.6,23.1,"Caribbean","Americas"
"Ecuador",2024,74.9,69.7,80.4,14,15.2,12.6,"South America","Americas"
"Egypt",2024,75,73.8,76.2,19.8,20.7,18.9,"Northern Africa","Africa"
"El Salvador",2024,75.9,72.4,79.5,13.5,15.3,11.5,"Central America","Americas"
"Equatorial Guinea",2024,63.9,61.6,66.2,105.1,112.4,97.5,"Middle Africa","Africa"
"Eritrea",2024,67.5,64.9,70.2,57.1,66.7,47.2,"Eastern Africa","Africa"
"Estonia",2024,78.4,73.8,83.2,4,4,4,"Northern Europe","Europe"
"Eswatini",2024,60.7,58.7,62.8,46.8,51.1,42.4,"Southern Africa","Africa"
"Ethiopia",2024,67.7,65.4,70,45.4,51,39.6,"Eastern Africa","Africa"
"Faroe Islands",2024,81.7,79.2,84.4,7.2,8.2,6.1,"Northern Europe","Europe"
"Fiji",2024,74.8,72.2,77.6,16,18.5,13.4,"Melanesia","Oceania"
"Finland",2024,82.2,79.3,85.2,2.5,2.7,2.3,"Northern Europe","Europe"
"France",2024,82.6,79.8,85.5,4.1,4.5,3.7,"Western Europe","Europe"
"French Polynesia",2024,78.9,76.6,81.3,11.8,14.2,9.2,"Polynesia","Oceania"
"Gabon",2024,70.4,68.6,72.1,38.8,42.1,35.4,"Middle Africa","Africa"
"Gambia, The",2024,68.4,66.7,70.1,56.3,59.8,52.7,"Western Africa","Africa"
"Gaza Strip",2024,75.5,73.7,77.4,17.8,19.1,16.4,"Western Asia","Asia"
"Georgia",2024,72.8,68.7,77.2,23.7,26,21.3,"Western Asia","Asia"
"Germany",2024,81.9,79.6,84.4,3.8,4.1,3.4,"Western Europe","Europe"
"Ghana",2024,70.1,68.4,71.8,43,47,38.8,"Western Africa","Africa"
"Gibraltar",2024,80.9,78.1,83.8,7.1,7.9,6.1,"Southern Europe","Europe"
"Greece",2024,81.9,79.4,84.6,4,4.4,3.5,"Southern Europe","Europe"
"Greenland",2024,74.5,71.8,77.3,10.6,12.5,8.7,"Northern America","Americas"
"Grenada",2024,76.3,73.7,79.1,12.4,12.6,12.1,"Caribbean","Americas"
"Guam",2024,78,75.6,80.5,12.2,12.3,12.1,"Micronesia","Oceania"
"Guatemala",2024,73.5,71.5,75.6,32.3,35.5,28.9,"Central America","Americas"
"Guernsey",2024,83.6,80.9,86.4,3.8,4.3,3.2,"Northern Europe","Europe"
"Guinea",2024,64.6,62.7,66.6,69.5,74.4,64.4,"Western Africa","Africa"
"Guinea-Bissau",2024,64.5,62.2,66.8,68.1,75.2,60.9,"Western Africa","Africa"
"Guyana",2024,72.4,70.6,74.3,25.1,28.3,21.8,"South America","Americas"
"Haiti",2024,65.6,63.8,67.4,48.7,53.1,44.2,"Caribbean","Americas"
"Honduras",2024,73.1,69.6,76.8,17.3,19.7,14.9,"Central America","Americas"
"Hong Kong",2024,84,81.3,86.8,3.3,3.5,3.2,"Eastern Asia","Asia"
"Hungary",2024,76,72.9,79.3,5.5,5.6,5.5,"Eastern Europe","Europe"
"Iceland",2024,84,81.8,86.3,2.5,2.8,2.1,"Northern Europe","Europe"
"India",2024,68.2,66.5,70.1,34.2,33.6,35,"South-Central Asia","Asia"
"Indonesia",2024,73.6,71.3,76,22.5,25.2,19.7,"South-Eastern Asia","Asia"
"Iran",2024,75.6,74.3,77.1,16.6,17.7,15.4,"South-Central Asia","Asia"
"Iraq",2024,73.7,71.9,75.7,22.4,24.2,20.6,"Western Asia","Asia"
"Ireland",2024,82,80.3,83.9,3.5,3.4,3.6,"Northern Europe","Europe"
"Isle of Man",2024,82.5,80.7,84.4,4.8,5.2,4.4,"Northern Europe","Europe"
"Israel",2024,83.1,81.1,85.1,3.6,4.1,3.1,"Western Asia","Asia"
"Italy",2024,83,80.7,85.5,3.6,3.8,3.4,"Southern Europe","Europe"
"Jamaica",2024,76.3,74.5,78.1,12.4,13.7,10.9,"Caribbean","Americas"
"Japan",2024,85.2,82.3,88.2,2.5,2.6,2.3,"Eastern Asia","Asia"
"Jersey",2024,83,80.6,85.7,4.4,4.8,3.9,"Northern Europe","Europe"
"Jordan",2024,76.5,75,78.1,15.3,16.4,14.2,"Western Asia","Asia"
"Kazakhstan",2024,73.3,69,77.9,9.7,10.9,8.5,"South-Central Asia","Asia"
"Kenya",2024,70.4,68.6,72.2,35.5,39,31.8,"Eastern Africa","Africa"
"Kiribati",2024,68.5,65.9,71.3,40.7,42.9,38.3,"Micronesia","Oceania"
"Korea, North",2024,73.5,70.2,77,19.9,21.6,18.2,"Eastern Asia","Asia"
"Korea, South",2024,83.4,80.3,86.6,3.4,3.6,3.1,"Eastern Asia","Asia"
"Kosovo",2024,73.1,71,75.5,28.7,30.6,26.7,"Southern Europe","Europe"
"Kuwait",2024,79.6,78.1,81.1,8.7,9.1,8.4,"Western Asia","Asia"
"Kyrgyzstan",2024,72.9,68.9,77.2,27.7,31.9,23.1,"South-Central Asia","Asia"
"Laos",2024,69,67.4,70.7,44.3,48.2,40.3,"South-Eastern Asia","Asia"
"Latvia",2024,76.4,72,81,5.9,6.5,5.2,"Northern Europe","Europe"
"Lebanon",2024,79.2,77.8,80.7,7.4,8,6.9,"Western Asia","Asia"
"Lesotho",2024,60.2,58.1,62.3,59.6,65.9,53.1,"Southern Africa","Africa"
"Liberia",2024,61.6,59.9,63.3,74.7,80.2,69,"Western Africa","Africa"
