"Name","Year","Life.Expectancy.at.Birth..Both.Sexes","Life.Expectancy.at.Birth..Males","Life.Expectancy.at.Birth..Females","Under.Age.5.Mortality..Both.Sexes","Under.Age.5.Mortality..Males","Under.Age.5.Mortality..Females","Subregion","Region"
"Sint Maarten",2024,79.7,77.4,82.2,8.6,9.4,7.8,"Caribbean","Americas"
"Slovakia",2024,77.2,73.7,81,6.2,6.9,5.4,"Eastern Europe","Europe"
"Slovenia",2024,82.2,79.4,85.2,2,2.2,1.7,"Southern Europe","Europe"
"Solomon Islands",2024,77.2,74.6,80,24.2,28.4,19.8,"Melanesia","Oceania"
"Somalia",2024,56.5,54.1,59,136,148,123.6,"Eastern Africa","Africa"
"South Africa",2024,71.9,70.3,73.5,26.3,29,23.6,"Southern Africa","Africa"
"South Sudan",2024,60.3,58.4,62.2,92.6,99,86,"Northern Africa","Africa"
"Spain",2024,83,80.3,85.8,2.9,3.2,2.6,"Southern Europe","Europe"
"Sri Lanka",2024,76.8,73.7,79.9,8,8.7,7.2,"South-Central Asia","Asia"
"Sudan",2024,67.8,65.5,70.2,59.4,66.5,51.9,"Northern Africa","Africa"
"Suriname",2024,72.7,69,76.7,38.2,48.4,27.4,"South America","Americas"
"Sweden",2024,82.9,81.2,84.7,2.7,3,2.4,"Northern Europe","Europe"
"Switzerland",2024,83.9,82,85.8,3.6,3.9,3.2,"Western Europe","Europe"
"Syria",2024,74.8,73.4,76.4,17.4,19,15.6,"Western Asia","Asia"
"Taiwan",2024,81.6,78.6,84.7,4.6,4.9,4.2,"Eastern Asia","Asia"
"Tajikistan",2024,71.9,70.1,73.8,26.2,29.1,23.1,"South-Central Asia","Asia"
"Tanzania",2024,70.8,69,72.6,41.3,44.3,38.3,"Eastern Africa","Africa"
"Thailand",2024,78.2,75.2,81.3,8.4,9.3,7.4,"South-Eastern Asia","Asia"
"Timor-Leste",2024,70.5,68.9,72.3,40.8,43.7,37.7,"South-Eastern Asia","Asia"
"Togo",2024,72.1,69.5,74.7,55.1,60.7,49.4,"Western Africa","Africa"
"Tonga",2024,78,76.4,79.7,13.7,14.6,12.8,"Polynesia","Oceania"
"Trinidad and Tobago",2024,76.5,74.6,78.4,17.7,19.9,15.5,"Caribbean","Americas"
"Tunisia",2024,77.3,75.7,79.1,12.9,14.4,11.3,"Northern Africa","Africa"
